Date,Doubling Rate,Baseline,Asymptote,Midpoint,Steepness
2022-01-01 00:00:00.000000,441.9,,,,
2022-01-02 00:00:00.000000,440.1,,,,
2022-01-03 00:00:00.000000,435.99606753328703,,,,
2022-01-04 00:00:00.000000,422.53646500473616,,,,
2022-01-05 00:00:00.000000,165.72130363046008,,,,
2022-01-06 00:00:00.000000,153.8776151535468,,,,
2022-01-07 00:00:00.000000,149.32785212536382,,,,
2022-01-08 00:00:00.000000,138.9111246492064,,,,
2022-01-09 00:00:00.000000,61.904955651897716,,,,
2022-01-10 00:00:00.000000,55.88634819040183,,,,
2022-01-11 00:00:00.000000,52.15628197762529,,,,
2022-01-12 00:00:00.000000,47.16466548151679,,,,
2022-01-13 00:00:00.000000,43.769928739004854,,,,
2022-01-14 00:00:00.000000,40.58155366836729,,,,
2022-01-15 00:00:00.000000,37.885731308898784,,,,
2022-01-16 00:00:00.000000,35.7377984174313,,,,
2022-01-17 00:00:00.000000,34.586648490973374,,,,
2022-01-18 00:00:00.000000,33.31843431518816,,,,
2022-01-19 00:00:00.000000,32.04703555165941,,,,
2022-01-20 00:00:00.000000,30.57662235232944,,,,
2022-01-21 00:00:00.000000,29.664546990201483,,,,
2022-01-22 00:00:00.000000,29.282191610049015,,,,
2022-01-23 12:14:49.811618,,634.677806674746,1668.7179783746674,19016.45773181484,0.14937244630864466
2022-01-23 12:19:32.726741,,634.677806674746,1668.7179783746674,19016.45773181484,0.14937244630864466
2022-01-23 12:35:28.209305,,634.677806674746,1668.7179783746674,19016.45773181484,0.14937244630864466
2022-01-24 10:30:58.185686,,635.5130068617185,1483.4224313406091,19014.26408025607,0.15850614231162355
2022-01-25 10:30:58.423520,,635.823414299091,1442.1736740789263,19013.68738352472,0.16178654295056968
2022-01-26 10:30:57.490436,,736.6263852615505,1498.6565368181234,19039.417278654957,0.8599329424517399
2022-01-27 10:31:02.240752,,744.422417972757,1498.471129322136,19045.067796225016,1.0312384445277003
2022-01-27 11:23:56.389682,,636.0659107659328,1418.139800386098,19013.327033046222,0.16421442917679135
2022-01-28 10:30:57.714445,,634.3347998285991,1499.3212914572455,19014.654833107765,0.15261861935474755
2022-01-29 10:30:58.291031,,633.6426524851705,1619.9175219740766,19016.2848033336,0.14511702560442138
2022-01-30 10:31:20.930846,,632.3323706412024,1745.5581508916198,19017.9265252443,0.13699069019439075
2022-01-31 10:31:00.308891,,631.8129747014203,1797.4053095143204,19018.568718545168,0.13413065578207325
2022-02-01 10:30:59.162796,,631.7171063333614,1805.8881973776056,19018.67426551857,0.13364805014313294
2022-02-02 10:31:00.329074,,631.824295329283,1797.1870724742748,19018.564542413988,0.13416962259626158
2022-02-03 10:31:01.520837,,631.7318116198354,1803.745272954505,19018.64901404433,0.13374331186170935
2022-02-04 10:30:59.022826,,631.6547391697275,1808.579661665197,19018.71222950077,0.13340915915002105
2022-02-05 10:30:57.461345,,631.8413602852236,1798.2830590140616,19018.57480311753,0.1341819496440789
2022-02-06 10:31:12.901307,,631.9134446104092,1794.7890566017068,19018.52711837245,0.13446938683899504
2022-02-07 10:30:58.871326,,632.1612081970948,1784.2331170277496,19018.38004145569,0.13541939764184724
2022-02-08 10:30:58.602080,,632.391097371835,1775.6051184426556,19018.257299873003,0.13627396791461344
2022-02-09 10:31:01.088039,,632.5297932710209,1770.9771324390442,19018.19027292692,0.13677324298903193
2022-02-10 10:31:02.183948,,632.4983488591056,1771.9174409484115,19018.204092718664,0.13666449562908434
2022-02-11 10:31:03.030884,,632.4082659114711,1774.3809882576968,19018.24073117069,0.13636361836666247
2022-02-12 10:31:02.187584,,632.0187288526739,1784.1563138684598,19018.38758415012,0.13512217686325573
2022-02-13 10:31:24.447387,,631.5545575275859,1794.9624325846435,19018.55130357883,0.1337176448958876
2022-02-14 10:31:01.027216,,631.1540644646894,1803.6462095995907,19018.68393790834,0.1325639433526833
2022-02-15 10:31:02.110416,,630.7507632548518,1811.7968604081725,19018.809423176805,0.13145523693898498
2022-02-16 10:31:02.328830,,630.1415435626452,1823.3836162615376,19018.98917495037,0.12985391396988888
2022-02-17 10:31:02.978376,,629.5697490855428,1833.618713033302,19019.149095973044,0.12842379539793133
2022-02-18 10:31:01.439398,,628.9995608628383,1843.2592792289413,19019.300783812665,0.1270609971006339
2022-02-19 10:31:11.861249,,628.4684070962212,1851.7542257337384,19019.435369647344,0.12584521406766647
2022-02-20 10:31:24.984260,,627.8085884809957,1861.7671480137801,19019.595048299285,0.12439781424080207
2022-02-21 10:31:03.737331,,627.2598839602251,1869.681887955712,19019.722084943427,0.12324321396873922
2022-02-22 10:31:03.684911,,626.6817010209941,1877.623572567938,19019.85033630661,0.12207221473684422
2022-02-23 10:31:04.164465,,626.1970621998447,1883.9725175833034,19019.953473003032,0.12112515908189375
2022-02-24 10:31:06.514833,,625.6882855442377,1890.3331015282965,19020.057357032787,0.12016410830644485
2022-02-25 10:31:05.142410,,625.2462925039488,1895.6461451925545,19020.14462522279,0.119351404497646
2022-02-26 10:31:05.533497,,624.7732727547018,1901.0600735276284,19020.233938775404,0.11851170283278364
2022-02-27 10:31:28.147317,,624.3252411893243,1905.951075977477,19020.314992625357,0.11774268654959112
2022-02-28 10:31:04.223664,,623.9127054493707,1910.3033172321536,19020.38748554479,0.1170499077818011
2022-03-01 10:31:04.909057,,623.4797588129868,1914.6927032371536,19020.46087290559,0.1163421115797676
2022-03-02 10:31:00.424396,,623.0785625269925,1918.5964151238918,19020.5263708462,0.1157045302442637
