Date,Doubling Rate,Saturation Date
2022-01-01,17.2,
2022-01-02,16.6,
2022-01-03,15.703445355843634,
2022-01-04,15.020466055906901,2022-02-14
2022-01-05,14.334690216716671,2022-02-13
2022-01-06,13.863289053069305,2022-02-09
2022-01-07,13.499356440894209,2022-02-06
2022-01-08,12.799492107136945,2022-02-06
2022-01-09,9.002857786744002,2022-01-26
2022-01-10,9.077654567144824,2022-01-25
2022-01-11,9.149718705459662,2022-01-26
2022-01-12,9.211475537842054,2022-01-25
2022-01-13,9.299762538893743,2022-01-26
2022-01-14,9.439451381647649,2022-01-27
2022-01-15,9.544677436773583,2022-01-29
